timestamp_sec,HR,SpO2,BP_sys,BP_dia,motion
0,81.49014245903369,99.90119068575301,115.88032256514,76.43670428024743,0.20698258371079484
1,79.58520709648644,97.93933918618538,116.40445274275407,78.80803024234592,0.20325123155943903
2,81.94306561430207,97.29159323308954,130.24906047892964,81.60309469590915,0.24066402030322967
3,84.56908956922408,96.48628560738717,120.00341409478742,80.27328081876774,0.15780730612875504
4,79.29753987583,96.19686032374406,,77.44538006066205,0.1128163698801732
5,79.29758912915246,96.41586405699451,116.04550309166224,80.01881946855326,0.20784115080490967
6,84.73763844652217,98.26712665101148,116.10073526889181,75.40539405426907,0.21406152461093023
7,82.30230418745873,98.50872502322993,125.40992404624971,83.45080218769489,0.2744799704723825
8,78.59157684219514,96.41880929796787,113.25211894224233,79.38414794151124,0.1364818976837457
9,81.6276801307579,98.89503831407612,117.92393116047364,83.35564983276598,0.257734688335836
10,78.60974692156262,97.51693894831656,,78.42040493871187,0.3183707182013561
11,78.60281073928923,98.14679301198555,120.55686300920026,78.42927203478025,0.18111175562387616
12,80.7258868146981,99.61222062825543,119.10453357491922,77.70743964008646,0.1354528890253388
13,74.2601592660266,98.89683931586553,121.97909890547962,82.62852179507922,0.17965128168133146
14,74.8252465024609,97.73146935209417,123.46427877908906,77.87170652801457,0.20070024836856903
15,78.31313741227709,97.10880777458472,123.67318772729665,81.93378629724553,0.22818939375034575
16,76.96150663899672,95.8481845986707,115.07098095666086,78.85264280699212,0.17043026350809765
17,80.94274199778582,97.28084668075758,118.57922451035601,74.07211010032515,0.2777599267073671
18,77.27592777343636,97.78886976117231,125.9738143093847,78.2890577966406,0.14427338424959693
19,75.76308889599413,97.01282047284882,124.47323593786936,76.46267535691146,0.11303974239136
20,84.39694630676466,97.8687430329077,113.13570274259467,80.10170817104701,0.25533552121436587
21,79.3226710985404,98.07685188295876,121.75739950176101,76.42877679297654,0.08626894843969002
22,80.20258461406377,97.77514401819192,110.10887375312595,82.77792530214386,0.1897935115563642
