timestamp_sec,HR,SpO2,BP_sys,BP_dia,motion
0,79.58520709648644,99.901190685753,115.88032256514,76.43670428024743,0.2069825837107948
1,81.49014245903369,97.93933918618538,116.40445274275407,78.80803024234592,0.203251231559439
2,81.49014245903369,97.29159323308954,130.24906047892964,81.60309469590915,0.2406640203032296
3,79.58520709648644,96.48628560738716,120.00341409478742,80.27328081876774,0.157807306128755
4,81.94306561430207,96.19686032374406,118.02445859322484,77.44538006066205,0.1128163698801732
5,82.30230418745873,96.41586405699452,116.04550309166224,80.01881946855326,0.2078411508049096
6,79.29758912915246,98.26712665101148,116.1007352688918,75.40539405426907,0.2140615246109302
7,81.6276801307579,98.50872502322991,125.40992404624971,83.45080218769489,0.2744799704723825
8,81.6276801307579,96.41880929796788,113.25211894224232,79.38414794151124,0.1364818976837457
9,78.60974692156262,98.89503831407612,117.92393116047364,83.35564983276598,0.257734688335836
10,78.60974692156262,97.51693894831656,119.24039708483696,78.42040493871187,0.3183707182013561
11,78.60974692156262,98.14679301198557,120.55686300920026,78.42927203478025,0.1811117556238761
12,78.60281073928923,99.61222062825544,119.10453357491922,77.70743964008646,0.1354528890253388
13,78.31313741227709,98.89683931586552,121.97909890547962,82.62852179507922,0.1796512816813314
14,76.96150663899672,97.73146935209417,123.46427877908906,77.87170652801457,0.200700248368569
15,76.96150663899672,97.10880777458472,123.67318772729664,81.93378629724553,0.2281893937503457
16,77.27592777343636,95.8481845986707,115.07098095666086,78.85264280699212,0.1704302635080976
17,77.27592777343636,97.28084668075758,118.579224510356,74.07211010032515,0.2777599267073671
18,77.27592777343636,97.78886976117232,125.9738143093847,78.2890577966406,0.1442733842495969
19,79.3226710985404,97.01282047284882,124.47323593786936,76.46267535691146,0.11303974239136
20,79.3226710985404,97.8687430329077,113.13570274259467,80.10170817104701,0.2553355212143658
21,79.3226710985404,98.07685188295876,121.757399501761,76.42877679297654,0.08626894843969
22,79.3226710985404,97.77514401819192,110.10887375312596,82.77792530214386,0.1897935115563642
